Replicate,Sub-Replicate,P,K,N,C
J6,3,2463.2,17985,23741.47,41.2
J7,1,2657.7,16195,22387.9,39.7
J7,2,2753.1,17138,27784.13,42.4
J7,3,1734,14465.8,21720.74,39.7
J8,1,1919.2,14096,3090.804,42.9
J8,2,2899.5,14723,41354.7,48.3
J8,3,2601,15650,17869.89,40.6
J9,1,2688.6,15468,10028.89,37.6
J9,2,2990.9,18743,4582.827,41.9
J9,3,2445.4,17821,29898.63,38.5
J10,1,2801.4,21679,6310.421,41.4
J10,2,2722.6,20175,2147.067,42
J10,3,3426.6,22567,3900.713,45
J11,1,2264.6,14616,3150.032,40.2
J11,2,2868.6,19513,5811.35,42.3
J11,3,2423.7,17833,3158.412,42.9
J12,1,2880.2,23017,19791.58,41.2
J12,2,2913.7,19358,26677.31,45.7
J12,3,3066.2,22304,28564.04,41.9
J13,1,2636.7,19326,20551.41,40
J13,2,2530.7,15792,15711.87,37.2
J13,3,1778.2,12380,9353.79,41.4
J14,1,2443.9,19593,6875.656,42
J14,2,2822.7,17618,5874.914,38.2
J14,3,3016,19814,8143.863,39.3
J15,1,2676.4,19975,16755.03,42.1
J15,2,3098.5,19525,29309.8,41
J15,3,2764.7,18287,3878.807,43.4
J16,1,2502.3,17976,3396.976,44.5
J16,2,2891.9,18270,9652.651,41.1
J16,3,2678.7,19393,37520.7,44.1
J17,1,2941.2,18157,7105.249,41.8
J17,2,2673,17605,7722.504,40.7
J17,3,2815,18012,6837.08,37.9
J18,1,3108.4,20232,21134.81,41.1
J18,2,2956,20449,10029.62,43.2
J18,3,2766.6,15428,29486.7,40.6
J19,1,2447,13637,28452.27,44.8
J19,2,3075.6,18178,3546.052,44.5
J19,3,2542.2,16998,13669,42.3
J20,1,2788.2,19863,24011.67,40
J20,2,2599.8,16262,4301.324,38.6
J20,3,2009.4,14941,5233.94,36.5
J21,1,2911,17767,13638.76,39.9
J21,2,1782.4,11733,7716.244,41.4
J21,3,1885.6,14447,5027.951,43
J22,1,2693.1,17112,3291.558,41.2
J22,2,1810.5,12599,5282.758,43.8
J22,3,2416.2,15238,2995.024,39.3
J23,1,1775.5,10908,10271.76,40.4
J23,2,1107.4,7720.9,9379.615,39.5
J23,3,1029.1,9978.3,9650.021,42.3
J24,1,3310,18335,15850.7,38.1
J24,2,2349.7,22927,8682.833,42.1
J24,3,2449,21815,7984.891,43.1
J25,1,2901.7,20509,15761.56,41
J25,2,3169.4,17483,7958.398,45.4
J25,3,2651.3,18263,20318.76,41.1
J26,1,3834.4,22640,8186.813,37
J26,2,2424.5,19123,5556.154,42.7
J26,3,3310.2,20934,4849.745,37.3
J27,1,2930.8,19318,16642.84,36.9
J27,2,3235.4,20231,7972.556,36.1
J27,3,2885.8,19097,40488.36,35.9
J28,1,3416.6,18192,20390.35,38.7
J28,2,3068.6,17905,13654.08,39
J28,3,3119.3,20086,5231.382,36.2
BC1,1,2525.8,4487,3604.798,40.6
BC2,1,4564.2,12182,9598.965,38.1
BC3,1,6068.7,22513,9216.146,37.5
BC4,1,6010,23831,10112.56,40.5
BC5,1,5222.7,9869.6,5411.422,41.3
BC6,1,4312.1,6499.2,6345.114,40.1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
