Replicate,Sub-Replicate,P,K,N,C
T1,1,3191.1,12696,9313.107,40.5
T1,2,2076,10491,13013.64,38.6
T1,3,1780.8,9173,8707.264,37.6
T2,1,2776.1,12433,16723.86,38.9
T2,2,2159.8,11832,15349.7,37.3
T2,3,2247.2,10018,13133.35,40.7
T3,1,2789.2,12375,24028.84,38.4
T3,2,2963.5,14767,13990.26,38.9
T3,3,2422.9,12654,13985.31,36.6
T4,1,2709,13800,6930.885,40.1
T4,2,2542.3,14641,6965.276,40.3
T4,3,2243.3,15820,12050.99,40.7
T5,1,1696.1,15617,28399.81,38.3
T5,2,1839.5,13902,18870.41,37.6
T5,3,1992.2,15122,22783.47,39.3
T6,1,2636,14074,20915.81,38.8
T6,2,1663,7769,23912.9,38
T6,3,2171,11105,15833.96,37.4
T7,1,2379.6,11637,16932.58,37.5
T7,2,2555.8,11661,8360.091,40
T7,3,2659,12121,14098.12,36.5
T8,1,3949,17074,12484.25,36.8
T8,2,2659.1,18533,18501.85,39.9
T8,3,2564.4,14214,16067.85,35.9
T9,1,2288.6,14970,20264.58,38
T9,2,2301.1,17349,5744.64,38.8
T9,3,2232.3,17375,9735.478,38.7
T10,1,2501.9,12580,7752.468,37.3
T10,2,2402.2,12517,23647.09,37.6
T10,3,2656.2,11679,27311.4,39.5
T11,1,2357.6,12718,8409.987,37.9
T11,2,2636.3,12871,5910.591,38.8
T11,3,2378.6,10839,8404.402,40.1
T12,1,2203.5,18114,4833.71,38.7
T12,2,2181.4,17266,5777.553,39
T12,3,2152.8,15448,16138.34,39.2
T13,1,2380.1,18582,8078.28,36.2
T13,2,2387,17598,7311.396,37.7
T13,3,2367.3,19201,8621.295,37.6
T14,1,2237.1,18190,8270.485,39.7
T14,2,1845.8,16047,10029.25,41
T14,3,2090.5,21859,5707.534,39.7
T15,1,2405.5,16706,13773.13,39.8
T15,2,1709.1,14136,9004.825,38.3
T15,3,2115.8,15516,6889.948,39.5
T16,1,2330.9,11992,23869.69,41.5
T16,2,2775.4,13656,3394.087,38.1
T16,3,2315.2,10993,8199.099,42
T17,1,2344.1,13439,23546.9,38.4
T17,2,2681.4,13597,13935.92,38.3
T17,3,2698.5,13578,42149.21,36.3
T18,1,2098.4,16559,15813.48,38.9
T18,2,2142.2,18746,6125.833,40.9
T18,3,2622.3,20627,6547.92,36.1
T19,1,2461.2,17644,6761.157,39.8
T19,2,2235.2,19256,6674.816,40.7
T19,3,1884.8,14975,12041.54,35.3
T20,1,1923.8,18205,13698.99,39.7
T20,2,1920.9,16554,22230.1,41.3
T20,3,2374.8,18207,8653.451,40.9
T21,1,2495.3,16623,20276.39,41.7
T21,2,2020.1,13322,4526.539,37.5
T21,3,2109.7,15030,33499.3,40.4
T22,1,2436.1,10438,25396.98,30.5
T22,2,2944.1,13482,25597.04,40.8
T22,3,2887.8,16161,5057.575,40.5
T23,1,2372.9,13524,11791.44,42.1
T23,2,2309.3,15039,29975.61,40.7
T23,3,2794.2,13792,8361.954,37
T24,1,2643.2,19006,5658.845,37.4
T24,2,16122,10581,7441.419,39.1
T24,3,1731.8,10610,9270.384,38
T25,1,2260.2,15902,9841.947,39.1
T25,2,1992.4,14189,6950.207,40.4
T25,3,2539.1,17445,11396.77,38.9
T26,1,2509,14730,15369.77,40.5
T26,2,2167.6,11888,8943.842,39.8
T26,3,2345.7,15957,9871.306,39.3
T27,1,2523.1,19445,12593.23,40.2
T27,2,2401.6,15882,12493.78,44
T27,3,2341,14603,8366.218,40.7
J1,1,2741.2,15948,2206.754,42.2
J1,2,2374.9,14670,6909.669,43.1
J1,3,2506,14808,6203.124,40.1
J2,1,2477.5,11417,10491.69,38.5
J2,2,2488.3,15629,10767.46,41.2
J2,3,2233,11899,7105.249,46.1
J3,1,2532.7,17002,24038.85,41.8
J3,2,2994.9,17311,16212.71,38.8
J3,3,3149.7,18698,16682.49,44.4
J4,1,2279.6,16527,24353.37,42.6
J4,2,2157.6,14466,26721.59,43.3
J4,3,2767.3,19718,25014.76,40.5
J5,1,2425.9,18401,17752.05,39.3
J5,2,2816.3,20902,16091.7,39.5
J5,3,2889.6,19342,28130.51,38.6
J6,1,2434.2,15199,5353.205,38.9
J6,2,2678.2,18401,22707.21,44.8
