Replicate,Sub-Replicate,P,K,N,C
T1,1,4408.5,11414.3,1366.9,31.7
T1,2,4888.2,13192.8,1697.0,33.6
T1,3,4458.0,14094.8,1328.2,32.4
T2,1,4356.7,13018.0,4760.9,30.2
T2,2,4903.6,14378.8,3229.1,34.4
T2,3,4169.0,12544.0,6262.7,26.1
T3,1,4179.6,13419.9,6733.7,27.2
T3,2,5115.4,14475.2,6676.9,31.7
T3,3,4962.4,13876.2,1768.6,33.4
T4,1,4793.7,11568.2,1334.5,33.8
T4,2,5158.1,15028.1,2707.4,30.1
T4,3,4658.9,9538.9,1291.6,27.5
T5,1,4966.6,12892.0,2654.8,27
T5,2,4570.9,15578.8,3433.8,28.2
T5,3,5244.1,13368.9,2656.4,32.4
T6,1,4399.2,10772.5,2525.3,29.2
T6,2,4149.5,11497.2,2878.8,26
T6,3,4371.0,11419.3,2619.3,26.5
T7,1,4187.9,11955.7,3080.6,26.1
T7,2,3929.1,14106.6,2774.1,27.7
T7,3,4277.6,13545.6,3502.2,24.8
T8,1,4817.5,11166.8,1964.5,30.4
T8,2,4651.1,12818.9,2400.9,24.9
T8,3,4380.9,12521.0,2774.1,28.2
T9,1,5137.6,13837.9,4161.2,34.6
T9,2,5107.1,13605.0,5603.5,32
T9,3,5070.5,12890.8,4807.4,32.2
T10,1,5066.4,14518.4,6768.6,26.6
T10,2,5219.9,14597.2,7894.6,30
T10,3,4592.4,12373.9,6834.3,36.7
T11,1,4482.7,12157.3,8971.7,29.3
T11,2,4755.0,12843.4,9476.0,32.8
T11,3,4454.1,15343.6,10777.9,28.8
T12,1,5508.3,12000.8,12922.5,31.2
T12,2,5432.9,9921.4,14445.5,29.1
T12,3,4607.7,9557.1,14214.1,30.4
J1,1,5830.9,14328.3,,32.1
J1,2,6017.1,14635.7,,34.5
J1,3,6162.0,14778.6,,28.9
J2,1,6360.5,15060.1,,28.3
J2,2,6703.4,15581.9,,32.5
J2,3,5948.2,14687.5,,29.4
J3,1,5385.0,12839.9,,32.7
J3,2,5874.6,14471.6,,29.7
J3,3,5706.7,14516.6,,34.4
J4,1,5308.0,14026.4,,38.6
J4,2,6738.6,15457.9,,36.3
J4,3,5663.3,14591.0,,33.3
J5,1,6009.7,15015.0,,35.7
J5,2,6594.1,16036.8,,35.9
J5,3,5437.9,13512.4,,30.6
J6,1,6485.6,17777.4,,31.5
J6,2,6125.7,14747.4,,30.3
J6,3,5975.2,15753.4,,31.8
J7,1,5220.8,13071.5,,32.5
J7,2,5764.3,14360.0,,39.6
J7,3,5434.1,13326.0,,35.5
J8,1,5792.2,13755.0,,29.9
J8,2,5038.6,12696.9,,30.7
J8,3,5695.2,12597.8,,34.7
J9,1,6150.1,13085.5,,35.7
J9,2,6261.2,12959.0,,35.9
J9,3,6244.9,13807.0,,30.6
J10,1,5240.2,14580.8,,32.8
J10,2,5649.5,9751.0,,31.3
J10,3,5673.5,12802.5,,30.1
J11,1,6178.3,13702.9,,35.5
J11,2,5317.7,12853.9,,30
J11,3,5361.4,13881.3,,37.4
J12,1,5552.3,10361.7,,29.4
J12,2,5827.3,12362.2,,35.3
J12,3,5390.3,11967.0,,33.5
BC1,,6739.7,15143.5,,34.8
BC2,,5666.8,15003.0,,32.4
BC3,,5459.3,10918.0,,41.4
BC4,,6248.9,13170.9,,35.9
BC5,,6137.1,12318.2,,29.6
BC6,,5499.8,12195.6,,34.3
