Replicate,Sub-Replicate,P,K,N,C
J8,1,2719,14417,1413.49,44.7
J8,2,3253,15968,2120.23,42.4
J8,3,3504,19682,1699.75,45.1
J9,1,4824,39146,1372.32,43.3
J9,2,4589,32710,1625.83,47.7
J9,3,4815,36645,1477.8,41.4
J10,1,3740,36899,3997.47,43.8
J10,2,4191,34523,3533.72,42.6
J10,3,4431,38729,3286.81,37.1
J11,1,5185.9,23862,3066.57,41
J11,2,4730.9,23023,2433.15,39.9
J11,3,4768.1,24849,2551.82,39.5
J12,1,5036,31326,6948.81,37.7
J12,2,4813,29275,6590.18,37.8
J12,3,5007,30153,7119.51,41.6
J13,1,5083,35282,4642.72,40.9
J13,2,5433,37214,5124.63,42.3
J13,3,4691,35611,4826.39,40.6
J14,1,4472,27154,1937.6,36
J14,2,3851,26033,1875.54,44.6
J14,3,4278,26232,1753.08,38.5
J15,1,4265,35896,1843.02,39.8
J15,2,7740,40433,1699.75,43
J15,3,4347,36870,1372.32,41.6
J16,1,4453,44090,3625.83,41.9
J16,2,4408,42612,4177.8,41.2
J16,3,4104,38284,3997.47,38.6
J17,1,5065,29767,3533.72,40.8
J17,2,4011,22232,3286.81,46.3
J17,3,5307,28673,3066.57,36.6
J18,1,4887,33792,3433.15,44.7
J18,2,4709,32855,3551.82,38.9
J18,3,4319,29552,3948.81,44.5
J19,1,4200,23412,6590.18,41.9
J19,2,4302,32310,7697.21,41.7
J19,3,5346,34093,7243.5,45.3
J20,1,5030,30861,7774.19,43.3
J20,2,5009,28256,7032.28,38.3
J20,3,5071,32653,6329.05,39.4
J21,1,4308,33736,7032.28,37.8
J21,2,4709,40182,6947.21,44.5
J21,3,4060,38858,6721.15,36.4
J22,1,4147,40471,5418.03,41.7
J22,2,4646,41549,5966.2,43.5
J22,3,4617,40113,5586.45,37.7
J23,1,,,,40.9
J23,2,,,,40.6
J23,3,,,,38.5
J24,1,2943,15922,6018.85,36.2
J24,2,2422,13614,5693.65,45.5
J24,3,2390,13305,6802.87,40.4
J25,1,5635,67718.7,4671.3,44.7
J25,2,5332,62633,4124,43.6
J25,3,5274,63409,4739,46.1
J26,1,5034,32101,8007.94,33
J26,2,4684,33469,8008.69,40.1
J26,3,5205,37249,8284.08,44.5
J27,1,4619.2,25687,4204.17,46.4
J27,2,4605.1,24537,3843.72,43.2
J27,3,4735.3,25895,3305.17,37.9
J28,1,4876,38913,5365.21,44.7
J28,2,3930,34752,6705.22,40.1
J28,3,4349,37710,6142.72,43
BC1,1,4951.6,26830,5007.16,44.1
BC2,1,5084.7,33372,6428.4,44.1
BC3,1,4117.6,28643,6142.04,45.9
BC4,1,5310,30319,5741.87,47.8
BC5,1,5272.7,27759,5214.17,43.1
BC6,1,4792,29528,5843.72,39.2
