Replicate,Sub-Replicate,P,K,N,C
T1,1,3620,58360,1735.51,44
T1,2,3506,51290,2826.98,42.1
T1,3,3036,51420,1434.89,39.4
T2,1,4576,63350,1413.49,47.9
T2,2,4012,60440,1706.74,48.6
T2,3,4619,60850,2120.23,45.1
T3,1,4514,65760,2481.5,41.6
T3,2,5455,66650,2088.9,45.6
T3,3,4304,66940,2392.6,42.6
T4,1,4919,35530,2798.99,39.9
T4,2,4518.9,30872,2399.49,36.1
T4,3,5566,33190,1999.49,36.9
T5,1,4174,60190,1206.74,41.8
T5,2,4279,63720,1134.57,47
T5,3,4180,68990,1039.74,38.7
T6,1,3002,21400,3516.14,43.1
T6,2,3364,25050,3438.74,40.3
T6,3,4141,22099,3805.5,37.3
T7,1,3581,47030,1039.74,41.6
T7,2,4430.2,23238,1039.74,46.7
T7,3,4782.8,24497,1034.57,39.8
T8,1,4422,49140,3039.74,43
T8,2,4459,44830,3516.14,34.9
T8,3,4087,48140,3438.74,40.9
T9,1,3511,36120,2109.68,43.7
T9,2,4074,38421,2812.91,42.1
T9,3,3810,32156,2516.14,37
T10,1,3613,46310,2423.49,40.3
T10,2,4275.6,25740,2414.5,43.9
T10,3,4058.2,23890,2100.15,44.4
T11,1,4396,59730,1273.99,38
T11,2,4532,54870,1129.45,39.8
T11,3,4343,57080,1211.27,41.9
T12,1,3813,55390,2052.62,38.7
T12,2,4261,51390,2144,39.2
T12,3,4047,59260,2023.99,34.6
T13,1,3893,53110,1734.57,47.6
T13,2,3812,46220,1815.5,40.2
T13,3,3750,49900,1839.74,45.6
T14,1,3808,73680,1139.74,43.9
T14,2,3832,74220,1034.57,46.1
T14,3,3474,70670,1078.76,42.8
T15,1,3593,45780,2120.23,42.6
T15,2,4128,48630,3481.5,43.9
T15,3,4156,44170,2088.9,45.6
T16,1,4510,45750,2392.6,43.2
T16,2,4215,44530,2798.99,47.4
T16,3,4355,42880,2399.49,46.6
T17,1,4769,43600,1999.49,39.9
T17,2,4735,40550,1706.74,40.6
T17,3,4512,44830,2099.24,41.6
T18,1,3941,75740,1240.47,37.7
T18,2,4248,67061,1399.49,40.3
T18,3,3501,68110,1406.46,40.6
T19,1,4812,37260,1413.49,44.5
T19,2,3762,40170,1385.77,48.3
T19,3,3780,42910,1413.49,44.4
T20,1,3661,35150,2120.23,43.1
T20,2,4174,39060,1699.75,41.8
T20,3,3709,33730,1372.32,40.5
T21,1,4103,35140,4625.83,46.2
T21,2,3696,38050,4177.8,47.2
T21,3,4318,38380,3997.47,43.8
T22,1,4611,40280,7533.72,43.4
T22,2,4482,37610,7748.2,40.9
T22,3,1124,33970,7697.21,46.7
T23,1,2140,15640,7243.5,42.9
T23,2,2697,20530,7374.19,39.5
T23,3,2788,20770,7056.28,42.3
T24,1,1831,12760,7329.05,42.6
T24,2,1833,12620,7032.28,38.3
T24,3,2140,14080,6947.21,39.5
T25,1,4491,52950,8601.16,43.4
T25,2,4645,56660,9187.68,44.5
T25,3,4390,51240,8653.95,38.3
T26,1,3900,30920,9120.23,40.4
T26,2,4530,29680,9051.9,42.5
T26,3,4230,32510,9072.62,37.7
T27,1,4786,63230,2166.01,39.4
T27,2,4675,64640,2723.99,40.1
T27,3,4574,60860,2034.57,40.6
J1,1,5221,32338,1005.5,40.3
J1,2,5273,30714,1121.24,44.4
J1,3,4967,26142,1039.74,40.2
J2,1,5226,51295,1034.57,44.8
J2,2,4611,45402,1039.74,40.4
J2,3,4958,47610,1516.14,36.5
J3,1,4866,49277,2438.74,39.2
J3,2,4962,55131,2109.68,39.9
J3,3,4978,57253,2812.91,41.4
J4,1,4614,37295,2116.14,38.9
J4,2,3608,32080,2413.49,43.1
J4,3,4653,40219,2444.5,44
J5,1,4773.1,26988,1735.51,42.7
J5,2,3936.3,24496,2826.98,42
J5,3,4547.8,24939,1898.23,41.5
J6,1,4608.6,24789,1975.24,40.9
J6,2,4298.2,25112,2240.47,41.5
J6,3,4480.9,24626,2399.49,38
J7,1,5164.9,26825,1406.46,41.6
J7,2,4963.7,26398,1413.49,43.9
J7,3,5132.8,24944,1385.77,45.1
