Replicate,Sub-Replicate,P,K,N,C
T1,1,5546.6560,17875.45,2901.7507,35.2
T1,2,7812.5000,27945.43,1634.2834,38.1
T1,3,8651.2555,25894.78,2014.3835,30.7
T2,1,7602.0000,25027.00,1805.4998,31.3
T2,2,6500.0000,17661.81,2320.4112,44.0
T2,3,5862.7294,18532.52,2130.1461,38.7
T3,1,4328.6483,13832.74,1273.9864,31.0
T3,2,8818.7275,30880.35,1029.4486,38.4
T3,3,7136.5824,25396.11,1271.2736,31.0
T4,1,7752.7955,25728.83,2072.6232,37.3
T4,2,7235.2941,23674.47,2166.0062,34.8
T4,3,6650.4602,21406.56,2723.9864,38.4
T5,1,8361.0220,24764.53,1034.5702,33.7
T5,2,7853.8000,25753.00,1805.4998,38.8
T5,3,7760.4348,24496.74,1039.7431,38.3
T6,1,5373.3041,18707.10,1039.7431,34.7
T6,2,5816.6533,18624.90,1034.5702,30.7
T6,3,7684.7957,22044.27,1039.7431,37.8
T7,1,6847.7173,23920.70,3516.1407,35.3
T7,2,7206.7346,24790.17,3438.7377,34.1
T7,3,5490.1882,17008.41,2109.6844,33.8
T8,1,6879.4141,24009.83,2812.9126,29.3
T8,2,5901.9177,22516.98,3516.1407,31.4
T8,3,5372.7982,18611.89,2413.4886,37.1
T9,1,6499.9002,22449.10,2444.4967,38.0
T9,2,7640.4123,25214.17,1735.5095,37.2
T9,3,6725.9615,19618.39,2826.9771,37.8
T10,1,7669.3645,24836.13,4898.2277,31.2
T10,2,6603.0527,20207.50,4922.5970,34.3
T10,3,7012.1000,23003.00,4922.5970,34.1
T11,1,8635.9649,22142.15,6771.5462,34.4
T11,2,9000.0999,23845.39,6266.6980,34.7
T11,3,8481.9495,22931.21,6266.6980,35.9
T12,1,5902.7556,18861.82,5570.3983,33.6
T12,2,6074.1923,21075.99,4898.2277,33.0
T12,3,5600.6377,18485.45,4134.8856,35.2
J1,1,8056.9406,22088.15,1413.4886,39.5
J1,2,7498.2000,21825.00,1706.7443,37.8
J1,3,7456.7692,21523.56,2120.2328,38.6
J2,1,7523.6905,21611.36,3481.4989,36.2
J2,2,7167.1675,20318.51,2088.8994,37.5
J2,3,7936.2255,23820.47,2392.5996,38.8
J3,1,6279.1116,18840.54,2798.9873,39.8
J3,2,4429.2000,12463.00,2399.4936,38.6
J3,3,6581.3024,18751.50,1999.4936,35.0
J4,1,5834.8303,14805.39,1706.7443,33.6
J4,2,6704.7362,17419.06,2099.2404,40.0
J4,3,6770.0160,19935.95,2240.4657,37.8
J5,1,5654.2065,14980.06,1399.4936,34.1
J5,2,6611.0000,17063.00,1406.4563,30.8
J5,3,5428.4572,15638.49,1413.4886,33.8
J6,1,6337.3048,19472.37,1385.7731,36.7
J6,2,5680.6057,15791.22,1413.4886,36.2
J6,3,5741.3000,14842.00,2120.2328,34.5
J7,1,6191.1116,16881.02,1699.7468,36.0
J7,2,5284.9140,13088.24,1372.3190,37.4
J7,3,7731.9928,19972.99,1625.8251,35.2
J8,1,3664.8659,9715.89,4177.7987,39.1
J8,2,6725.5879,17905.54,3997.4681,35.7
J8,3,5779.0884,15339.86,3533.7214,38.5
J9,1,8008.3832,16659.08,7748.1970,36.1
J9,2,8957.7662,19156.33,7697.2149,36.5
J9,3,8426.8755,19064.25,7243.5041,36.0
J10,1,8992.5030,19724.11,7774.1871,35.6
J10,2,7398.5594,16252.50,7032.2814,38.4
J10,3,8547.2622,19233.61,6329.0533,37.1
J11,1,8703.0938,18060.88,7032.2814,34.8
J11,2,8067.5270,16556.62,6947.2100,34.1
J11,3,8646.0088,20455.27,6601.1642,37.9
J12,1,7694.2000,19928.00,9187.6756,39.3
J12,2,8748.6995,19588.84,8653.9542,37.0
J12,3,7869.6544,19587.44,9120.2328,39.9
BC1,,9490.4924,20304.24,9051.8972,38.1
BC2,,7918.6651,18624.10,9471.0191,35.4
BC3,,8306.8000,20882.00,9894.4199,42.1
BC4,,10760.0000,20770.00,26149.5383,43.9
BC5,,8219.9000,19343.00,22503.3004,41.4
BC6,,,,,
