Replicate,Sub-Replicate,P,K,N,C
T1,1,2246.5,12149,5659.95,30.3
T1,2,1931.9,11667,16330.9,30.1
T1,3,1896.6,11721,18640.09,28.9
T2,1,1291.7,6485.4,15274.07,28.7
T2,2,1520.4,8725.3,10500.92,29.1
T2,3,1907.6,10711,21472.01,31.7
T3,1,1928.9,11399,17399.99,30
T3,2,2161.5,11814,4251.95,32.9
T3,3,1729.9,11159,8932.2,31.2
T4,1,1482,8502.9,27365.41,36.3
T4,2,1589.4,8588.4,14154.52,32.4
T4,3,1763.5,9370.5,8815.65,31
T5,1,1927.6,9827,16255.75,37.3
T5,2,1462.5,12425,2052.7,28.8
T5,3,1639.9,14513,18218.78,31
T6,1,1428.7,8203.5,20491.82,32.1
T6,2,1976.8,10482,21296.59,31.9
T6,3,1859.4,11228,17360.88,27.1
T7,1,1961,11523,8133.32,31.6
T7,2,2079.5,10881,15716.7,29.5
T7,3,1948.9,11293,26120.8,27.4
T8,1,1965.3,13684,6027.99,34.5
T8,2,2035.1,10592,27340.15,31.9
T8,3,1993.1,10385,6352.32,31.1
T9,1,1244.6,10768,9359.41,25.1
T9,2,1290.4,10472,10062.54,25.5
T9,3,1693,12379,10697.97,29.4
T10,1,1592.1,9103.1,30341.94,32.8
T10,2,1226.1,6931.9,3904.02,23.3
T10,3,1360.2,7151.3,7716.85,31.8
T11,1,1919,10360,19145.75,34.9
T11,2,1439,8218.2,18518.5,32.4
T11,3,1855,9896,25310.47,33.2
T12,1,1528.9,12246,10851.87,27.1
T12,2,1469.6,11419,10964.23,35.8
T12,3,1502,11752,8604.72,29.7
T13,1,1218,10357,7442.29,29
T13,2,1686,14266,21964.42,33.4
T13,3,1743.1,11939,11160.08,28.9
T14,1,981.68,8483.8,5620.59,34.2
T14,2,1601.4,10928,7778.43,35.7
T14,3,1507.3,10848,12801.44,30.7
T15,1,1761.2,11697,7302.87,28.7
T15,2,1867.1,13405,8755.75,33
T15,3,1823.1,12613,5513.99,33.7
T16,1,1963.5,11117,30151.17,34.4
T16,2,1905,10663,6080.4,35.3
T16,3,1914.8,10965,18206.54,35.8
T17,1,1784.9,11679,9928.1,31.2
T17,2,1792.9,10955,9859.43,31
T17,3,1806.1,10726,8244.82,34.2
T18,1,1313.7,9952.1,7786.19,40.1
T18,2,1658,14187,9220.82,37.9
T18,3,1353.7,7754.6,4181.87,38.3
T19,1,2227.8,13072,17781.23,36.3
T19,2,1887.6,12365,14447.4,28.8
T19,3,2082.2,12291,7112.36,27
T20,1,1683.4,13279,6619.2,41.3
T20,2,1325.2,9177.7,11962.06,32.1
T20,3,1709.7,12921,10202.64,31.3
T21,1,1308.8,11737,8420.78,27.5
T21,2,1513.7,14451,3629.17,33.1
T21,3,1682.8,14681,9561.08,29.6
T22,1,1754.7,13437,23974.53,36.6
T22,2,1891.4,13022,14320.27,30.9
T22,3,1685.6,11934,21706.97,37.6
T23,1,2007.7,14984,8794.85,35.6
T23,2,1848.7,12358,8523.84,30.7
T23,3,1829.7,12591,27115.51,33.8
T24,1,1796.6,14783,5255.63,29.7
T24,2,1417.2,8099.7,7166.71,34.2
T24,3,1610.7,13997,11810.82,27.2
T25,1,1332.6,8048.2,11706.54,28.7
T25,2,1991.1,11919,11530.13,33.6
T25,3,1844.6,12243,9426.18,28.2
T26,1,1244.3,9298.4,7630.4,33.3
T26,2,1802.9,13242,8063.43,33.7
T26,3,1569.1,9298.4,29003.06,27.3
T27,1,2028,12699,11370.75,31.2
T27,2,1489.7,9041.7,9507.44,31.8
T27,3,1402.9,8622.7,10415.68,31.4
J1,1,3589.1,12139,4209.88,39.3
J1,2,6778.3,19084,6352.46,33.1
J1,3,5082.2,20519,29480.35,36.9
J2,1,6643.3,19213,7064.76,38.1
J2,2,2984.6,10719,6526.43,34.9
J2,3,4572.5,16842,6606.82,37.8
J3,1,3571.3,12124,15235.8,40.5
J3,2,4228.1,15489,17175.74,36.5
J3,3,4359.5,14205,30103.05,41.6
J4,1,3984.3,13638,4671.73,42.1
J4,2,4997.2,16433,5469.48,39.4
J4,3,4114.9,15284,17593.68,36.8
J5,1,4062.2,15309,6913.39,37.7
J5,2,4619.5,15433,19053.78,36
J5,3,3404.1,16555,13504.86,29
J6,1,3683.2,15066,16413.24,33.3
J6,2,4098.6,12606,6192.15,38.8
J6,3,4257.6,13535,10321.65,38.4
J7,1,4412.9,17124,4986.89,36.1
J7,2,6406.4,8666.6,12037.19,43.9
J7,3,4519.9,16995,3135.04,37.1
J8,1,4761.7,19371,16367.94,36.9
J8,2,4575.9,10567,22170.5,36.5
J8,3,5058.6,16797,14605.47,42.1
J9,1,3651.8,12090,14041.53,30.9
J9,2,5834,14584,4602.01,35.9
J9,3,4413.1,15917,10016.09,34.9
J10,1,2739.4,10806,3156.6,34.5
J10,2,4586.3,17300,6874.91,41
J10,3,4757.6,11886,7981.53,43.9
J11,1,4042.5,14250,4502.63,35.1
J11,2,4494.7,13781,2439.82,41.4
J11,3,4723.8,16295,29405.38,35.6
J12,1,5141.1,18020,4025.57,34.5
J12,2,3709.5,12143,10392.19,42.3
J12,3,5184.6,17418,36671.87,38.6
J13,1,4856.3,17061,18036.6,36.5
J13,2,4582,14833,18855.59,35.6
J13,3,4156.8,18023,17253.02,32.6
J14,1,4455.5,16487,19591.04,38.2
J14,2,5249,16864,16758.45,41.5
J14,3,3723.5,12148,14582.91,39.2
J15,1,5988.2,14506,8373.87,40.3
J15,2,5869.3,17177,11655.35,40.7
J15,3,5375.2,15935,10330.63,40.9
J16,1,3845.1,13406,22083.04,41.8
J16,2,4744.1,18936,5952.36,38.1
J16,3,3279.2,11931,13033.55,36.4
J17,1,4357.1,18128,8852.77,39.9
J17,2,4817,19912,20135.18,38.4
J17,3,4639.6,17612,13875.75,35.2
J18,1,5083.6,16166,2385.59,34.1
J18,2,4262.3,15945,18160.05,30.8
J18,3,4617.9,16936,7809.59,32.8
J19,1,4759.1,13793,35286.45,43.1
J19,2,4627.1,12878,21724.73,41.9
J19,3,6420,16858,30773.61,38.3
J20,1,4968.2,19017,19176.58,33.7
J20,2,4384.8,13750,13290.48,37
J20,3,2842.9,13355,10282.8,29.8
J21,1,2599.9,10782,12050.02,33.5
J21,2,3782.1,12555,7973.21,37.5
J21,3,4401.9,13503,16100.13,40
J22,1,5517.1,14299,20221.85,33.9
J22,2,3314.2,12492,26401.22,42.5
J22,3,4027.4,15117,17183.12,35.8
J23,1,3466.2,13811,23349.02,39
J23,2,5600.3,17132,28989.78,40.3
J23,3,4813.8,15801,7587.76,40.8
J24,1,4344.8,16761,5732.92,35.5
J24,2,4081.6,13440,20707.89,36.2
J24,3,5349,17874,9814.59,38.9
J25,1,4480.6,15624,8099.36,38.1
J25,2,5493.5,13041,16184.2,39.2
J25,3,4075.8,5416.6,12752.49,32.1
J26,1,3843.7,14963,21167.71,37
J26,2,4349.9,14654,12144.55,40.9
J26,3,4735.7,15074,12301.98,27.4
J27,1,4034.7,12474,19279.77,32.9
J27,2,5045.2,11129,18478.24,36.7
J27,3,2762.2,12925,10420.32,32.8
J28,1,3985.7,12766,5956.31,37.5
J28,2,3744.7,13094,9014.09,36.3
J28,3,4141.8,13768,10427.19,35.5
BC1,1,4399.7,13709,23317.81,41.1
BC2,1,4411.3,12017,21248.54,32.8
BC3,1,4436.7,13939,8931.01,41.5
BC4,1,6789.8,12909,39077.62,39.9
BC5,1,5625,10777,22944.83,40.6
BC6,1,6058.8,14863,22240.57,38.9
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
